Sentence ID,Practice Problem,Subject,Variable Testing,Tokens,Labels
24,"Three equal resistors, connected in series across a source of emf together,
dissipate 10 W of p .",Electric Circuits,p,"['Three', 'equal', 'resistors', ',', 'connected', 'in', 'series', 'across', 'a', 'source', 'of', 'emf', 'together', ',', 'dissipate', '10', 'W', 'of', 'p', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'POWER', 'O']"
25,Find the p used if the three resistances are connected in series across 248 V mains.,Electric Circuits,p,"['Find', 'the', 'p', 'used', 'if', 'the', 'three', 'resistances', 'are', 'connected', 'in', 'series', 'across', '248', 'V', 'mains', '.']","['O', 'O', 'POWER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"Calculate the current through the 3 omega resistor and the p dissipated in the
entire circuit shown in",Electric Circuits,p,"['Calculate', 'the', 'current', 'through', 'the', '3', 'omega', 'resistor', 'and', 'the', 'p', 'dissipated', 'in', 'the', 'entire', 'circuit', 'shown', 'in']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'POWER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"A test tube of mass 10 g closed with a cork of mass 1 g contains some ether.
When the test tube is heated, the cork flies out under the pressure p of the ether
gas. ",Rotational Kinematics,p,"['A', 'test', 'tube', 'of', 'mass', '10', 'g', 'closed', 'with', 'a', 'cork', 'of', 'mass', '1', 'g', 'contains', 'some', 'ether', '.', 'W', 'hen', 'the', 'test', 'tube', 'is', 'heated', ',', 'the', 'cork', 'flies', 'out', 'under', 'the', 'pressure', 'p', 'of', 'the', 'ether', 'gas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRESSURE', 'O', 'O', 'O', 'O', 'O']"
28,"The gas occupies a length l in the equilibrium position and
is at P",Oscillations,p,"['The', 'gas', 'occupies', 'a', 'length', 'l', 'in', 'the', 'equilibrium', 'position', 'and', 'is', 'at', 'P']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRESSURE']"
29,"Let the gas at P and volume V be compressed by a small length
x",Oscillations,p,"['Let', 'the', 'gas', 'at', 'P', 'and', 'volume', 'V', 'be', 'compressed', 'by', 'a', 'small', 'length', 'x']","['O', 'O', 'O', 'O', 'PRESSURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"A venturi meter has a pipe diameter of 20 cm and a throat diameter of 10 cm.
If the water p in the pipe is 60,000 Pa and in the throat is 45,000 Pa,
calculate the rate of flow of water in m3/s.",Fluid Dynamics,p,"['A', 'venturi', 'meter', 'has', 'a', 'pipe', 'diameter', 'of', '20', 'c', 'm', 'and', 'a', 'throat', 'diameter', 'of', '10', 'c', 'm', '.', 'If', 'the', 'water', 'p', 'in', 'the', 'pipe', 'is', '60', ',', '000', 'Pa', 'and', 'in', 'the', 'throat', 'is', '45', ',', '000', 'Pa', ',', 'calculate', 'the', 'rate', 'of', 'flow', 'of', 'water', 'in', 'm', '3', '/', 's', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRESSURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"The wheel, which is initially at rest, has a tangential
f applied at right angles to its radius of magnitude 50 N as shown in
Fig. 1.8a.",Force and Torque,f,"['The', 'wheel', ',', 'which', 'is', 'initially', 'at', 'rest', ',', 'has', 'a', 'tangential', 'f', 'applied', 'at', 'right', 'angles', 'to', 'its', 'radius', 'of', 'magnitude', '50', 'N', 'as', 'shown', 'in', 'Fig', '.', '1.8', 'a', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'FORCE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"A wheel of radius r and weight W is to be raised over an obstacle of height
h by a horizontal force F applied to the centre. Find the minimum value of F.",Force and Torque,f,"['A', 'wheel', 'of', 'radius', 'r', 'and', 'weight', 'W', 'is', 'to', 'be', 'raised', 'over', 'an', 'obstacle', 'of', 'height', 'h', 'by', 'a', 'horizontal', 'force', 'F', 'applied', 'to', 'the', 'centre', '.', 'Find', 'the', 'minimum', 'value', 'of', 'F', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'FORCE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'FORCE', 'O']"
33,"Two blocks m1 and m2 are in contact on a frictionless table. A horizontal force
F is applied to the block m1, Fig. 2.4.",Particle Dynamics,f,"['Two', 'blocks', 'm', '1', 'and', 'm', '2', 'are', 'in', 'contact', 'on', 'a', 'frictionless', 'table', '.', 'A', 'horizontal', 'force', 'F', 'is', 'applied', 'to', 'the', 'block', 'm', '1', ',', 'Fig', '.', '2.4', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'FORCE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"the block is released from a height h above the bottom of the
loop such that the f it exerts against the track at the top of the loop is equal
to its weight. Show that h = 3R.",Rotational Kinematics,f,"['the', 'block', 'is', 'released', 'from', 'a', 'height', 'h', 'above', 'the', 'bottom', 'of', 'the', 'loop', 'such', 'that', 'the', 'f', 'it', 'exerts', 'against', 'the', 'track', 'at', 'the', 'top', 'of', 'the', 'loop', 'is', 'equal', 'to', 'its', 'weight', '.', 'Show', 'that', 'h', '=', '3', 'R', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,"Calculate the work done in
overcoming gravitational force due to the hemisphere.",Gravitation,f,"['Calculate', 'the', 'work', 'done', 'in', 'overcoming', 'gravitational', 'force', 'due', 'to', 'the', 'hemisphere', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,Find the law of force f for the orbit r = a sin nθ.,Gravitation,f,"['Find', 'the', 'law', 'of', 'force', 'f', 'for', 'the', 'orbit', 'r', '=', 'a', 'sin', 'n', '.']","['O', 'O', 'O', 'O', 'O', 'FORCE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,A coin is placed at a distance r from the centre of a gramophone record rotating with angular frequency ω = 2π f,Motion in a Horizontal Plane,f,"['A', 'coin', 'is', 'placed', 'at', 'a', 'distance', 'r', 'from', 'the', 'centre', 'of', 'a', 'gramophone', 'record', 'rotating', 'with', 'angular', 'frequency', '=', '2', 'f']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'FREQUENCY']"
38,"A mass attached to a spring vibrates with a natural frequency of 20 c/s
while its f for damped vibrations is 16 c/s",Oscillations,f,"['A', 'mass', 'attached', 'to', 'a', 'spring', 'vibrates', 'with', 'a', 'natural', 'frequency', 'of', '20', 'c', '/', 's', 'while', 'its', 'f', 'for', 'damped', 'vibrations', 'is', '16', 'c', '/', 's']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,"The damping force is proportional to the instantaneous speed of the mass and is 80 N when v = 2 m/s. find the resonance
f .",Oscillations,f,"['The', 'damping', 'force', 'is', 'proportional', 'to', 'the', 'instantaneous', 'speed', 'of', 'the', 'mass', 'and', 'is', '80', 'N', 'when', 'v', '=', '2', 'm', '/', 's', '.', 'find', 'the', 'resonance', 'f', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,An electric bell has a frequency f of 100 Hz. ,Oscillations,f,"['An', 'electric', 'bell', 'has', 'a', 'frequency', 'f', 'of', '100', 'Hz', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,Show that the characteristic impedance ρv of a gas is inversely proportional to the square root of its absolute temperature T .,Waves,t,"['Show', 'that', 'the', 'characteristic', 'impedance', 'v', 'of', 'a', 'gas', 'is', 'inversely', 'proportional', 'to', 'the', 'square', 'root', 'of', 'its', 'absolute', 'temperature', 'T', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"Air in a tube closed at one end vibrates in resonance with tuning fork whose
frequencies are 210 and 350 vibrations/s, when the t is 20◦C.",Waves,t,"['Air', 'in', 'a', 'tube', 'closed', 'at', 'one', 'end', 'vibrates', 'in', 'resonance', 'with', 'tuning', 'fork', 'whose', 'frequencies', 'are', '210', 'and', '350', 'vibrations', '/', 's', ',', 'when', 'the', 't', 'is', '20', '◦', 'C', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,"If the t at this elevation is −48◦C, what is the
new volume of the balloon?",Heat and Matter,t,"['If', 'the', 't', 'at', 'this', 'elevation', 'is', '−', '48', '◦', 'C', ',', 'what', 'is', 'the', 'new', 'volume', 'of', 'the', 'balloon', '?']","['O', 'O', 'TEMPERATURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"A particle moves according to the law x = A sinπt, where x is the displacement and t is time",Kinematics,t,"['A', 'particle', 'moves', 'according', 'to', 'the', 'law', 'x', '=', 'A', 'sin', 't', ',', 'where', 'x', 'is', 'the', 'displacement', 'and', 't', 'is', 'time']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TIME', 'O', 'O']"
45,"At time, t = 0 their positions and speeds are as shown in the diagram.",Kinematics,t,"['At', 'time', ',', 't', '=', '0', 'their', 'positions', 'and', 'speeds', 'are', 'as', 'shown', 'in', 'the', 'diagram', '.']","['O', 'O', 'O', 'TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"Another stone is thrown vertically down 1.0 s after the first one is dropped.
Both the stones strike the ground at the same t. ",Kinematics,t,"['Another', 'stone', 'is', 'thrown', 'vertically', 'down', '1.0', 's', 'after', 'the', 'first', 'one', 'is', 'dropped', '.', 'Both', 'the', 'stones', 'strike', 'the', 'ground', 'at', 'the', 'same', 't', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TIME', 'O']"
47,"Eventually it evolves into a neutron star with a radius of only
104 m and a period T of 0.1 s. ",Rotational Dynamics,t,"['Eventually', 'it', 'evolves', 'into', 'a', 'neutron', 'star', 'with', 'a', 'radius', 'of', 'only', '104', 'm', 'and', 'a', 'period', 'T', 'of', '0.1', 's', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TIME', 'O', 'O', 'O', 'O']"
48,"If the cylinder is fixed
and the sphere does not slide, find T , the time period of oscillations in terms
of a, b and g, the acceleration due to gravity.",Rotational Dynamics,t,"['If', 'the', 'cylinder', 'is', 'fixed', 'and', 'the', 'sphere', 'does', 'not', 'slide', ',', 'find', 'T', ',', 'the', 'time', 'period', 'of', 'oscillations', 'in', 'terms', 'of', 'a', ',', 'b', 'and', 'g', ',', 'the', 'acceleration', 'due', 'to', 'gravity', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,"If M is the mass of the sun, find the changes in the
major axis and in the time period of the earth.",Gravitation,t,"['If', 'M', 'is', 'the', 'mass', 'of', 'the', 'sun', ',', 'find', 'the', 'changes', 'in', 'the', 'major', 'axis', 'and', 'in', 'the', 'time', 'period', 'of', 'the', 'earth', '.']","['O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"A small bob of mass 50 g oscillates as a simple pendulum, with amplitude 5 cm and period t 2 s.",Simple Harmonic Motion,t,"['A', 'small', 'bob', 'of', 'mass', '50', 'g', 'oscillates', 'as', 'a', 'simple', 'pendulum', ',', 'with', 'amplitude', '5', 'c', 'm', 'and', 'period', 't', '2', 's', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERIOD', 'O', 'O', 'O']"
